"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","112","DELETE To Verify Login","chromium-unauth","2026-08-23","passed","2026-08-23","Delete test","LoginApiTest.spec.ts","",""
"","717","should get error if email empty","chromium-unauth","2026-08-23","passed","2026-08-23","New User Signup!-Negative Tests","RegisterTest.spec.ts","",""
"","747","should get error if name empty","chromium-unauth","2026-08-23","passed","2026-08-23","New User Signup!-Negative Tests","RegisterTest.spec.ts","",""
"","6884","Order Confirmation - Continue Button Redirects Home","chromium-auth","2026-08-23","passed","2026-08-23","Order Confirmation Tests","OrderConfirmation.spec.ts","",""
"","703","should get error if email not correct","chromium-unauth","2026-08-23","passed","2026-08-23","New User Signup!-Negative Tests","RegisterTest.spec.ts","",""
"","1596","should get a HTML validation error if password empty","chromium-unauth","2026-08-23","passed","2026-08-23","Negative Tests","AccountInfoTest.spec.ts","",""
"","5219","Payment Page - Basic Rendering -","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page Rendering Test","PaymentTest.spec.ts","",""
"","2021","should get the subcategory correct Women Dress","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","1669","should get a HTML validation error if first name empty","chromium-unauth","2026-08-23","passed","2026-08-23","Negative Tests","AccountInfoTest.spec.ts","",""
"","6310","Payment - - Invalid CVC format(number)","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","1335","Should pass WCAG accessibility standards on checkout","chromium-auth","2026-08-23","passed","2026-08-23","","AccessibilityTest.spec.ts","",""
"","2289","Address Details - Delivery Address Matches Account","chromium-auth","2026-08-23","passed","2026-08-23","UI & Layout Tests","checkoutTest.spec.ts","",""
"","3297","Cart - Add Single Product from Hover or Card","chromium-auth","2026-08-23","passed","2026-08-23","Add to Cart Integration","ProductsUI.spec.ts","",""
"","1421","1. Mocking Product List - Fake Product Displayed","chromium-unauth","2026-08-23","passed","2026-08-23","API & Route Intercepting Tests","ApiMockingTest.spec.ts","",""
"","4676","Cart Items - Clear Entire Cart","chromium-auth","2026-08-23","passed","2026-08-23","Cart Item Operations & Persistence","CartTest.spec.ts","",""
"","2933","Guest Checkout - Show Register/Login Modal for Unauthenticated User","chromium-unauth","2026-08-23","passed","2026-08-23","Checkout Integration","CartTest.spec.ts","",""
"","6432","Review Order - Item Total Calculation","chromium-auth","2026-08-23","passed","2026-08-23","Review Order - Data Integrity","checkoutTest.spec.ts","",""
"","1977","should get the subcategory correct Men Jeans","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","1424","Should pass WCAG accessibility standards on CartAuth","chromium-auth","2026-08-23","passed","2026-08-23","","AccessibilityTest.spec.ts","",""
"","379","POST To Verify Login with valid details","chromium-unauth","2026-08-23","passed","2026-08-23","login test","LoginApiTest.spec.ts","",""
"","5567","Payment - HTML Validation - Empty cvc field","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings","PaymentTest.spec.ts","",""
"","5856","Checkout - Guest Can Complete Order via Direct URL","chromium-unauth","2026-08-23","passed","2026-08-23","EDGE CASES","checkoutTest.spec.ts","",""
"","172","Get All Products List","chromium-unauth","2026-08-23","passed","2026-08-23","products","ProductsApi.spec.ts","",""
"","2079","Address Details - Both Addresses Are Identical (Default Case)","chromium-auth","2026-08-23","passed","2026-08-23","UI & Layout Tests","checkoutTest.spec.ts","",""
"","1233","Empty Cart - Navigation to Products","chromium-auth","2026-08-23","passed","2026-08-23","Empty Cart","CartEmptyTest.spec.ts","",""
"","366","API - should reject duplicate user registration","chromium-unauth","2026-08-23","passed","2026-08-23","","UserApiNegative.spec.ts","",""
